単語,ひらがな,JLPT,種類,グループ,ます形,て形,た形,ない形,条件形,受身動詞,使役動詞,命令形,可能動詞,意向形,禁止形
おっしゃる,おっしゃる,N5,他動詞,,,,,,,,,,,,
やる,やる,N5,他動詞,,,,,,,,,,,,
被る,かぶる,N5,他動詞,,,,,,,,,,,,
差す,さす,N5,他動詞,,,,,,,,,,,,
出す,だす,N5,他動詞,,,,,,,,,,,,
穿く,はく,N5,他動詞,,,,,,,,,,,,
吹く,ふく,N5,他動詞,,,,,,,,,,,,
撮る,とる,N5,他動詞,,,,,,,,,,,,
待つ,まつ,N5,他動詞,,,,,,,,,,,,
貸す,かす,N5,他動詞,,,,,,,,,,,,
読む,よむ,N5,他動詞,,,,,,,,,,,,
渡す,わたす,N5,他動詞,,,,,,,,,,,,
返す,かえす,N5,他動詞,,,,,,,,,,,,
歌う,うたう,N5,他動詞,,,,,,,,,,,,
呼ぶ,よぶ,N5,他動詞,,,,,,,,,,,,
話す,はなす,N5,他動詞,,,,,,,,,,,,
見送る,みおくる,N5,他動詞,,,,,,,,,,,,
頼む,たのむ,N5,他動詞,,,,,,,,,,,,
履く,はく,N5,他動詞,,,,,,,,,,,,
買う,かう,N5,他動詞,,,,,,,,,,,,
売る,うる,N5,他動詞,,,,,,,,,,,,
磨く,みがく,N5,他動詞,,,,,,,,,,,,
切る,きる,N5,他動詞,,,,,,,,,,,,
取る,とる,N5,他動詞,,,,,,,,,,,,
申す,もうす,N5,他動詞,,,,,,,,,,,,
使う,つかう,N5,他動詞,,,,,,,,,,,,
書く,かく,N5,他動詞,,,,,,,,,,,,
思う,おもう,N5,他動詞,,,,,,,,,,,,
送る,おくる,N5,他動詞,,,,,,,,,,,,
弾く,はじく,N5,他動詞,,,,,,,,,,,,
探す,さがす,N5,他動詞,,,,,,,,,,,,
貼る,はる,N5,他動詞,,,,,,,,,,,,
脱ぐ,ぬぐ,N5,他動詞,,,,,,,,,,,,
聞く,きく,N5,他動詞,,,,,,,,,,,,
無くす,なくす,N5,他動詞,,,,,,,,,,,,
吸う,すう,N5,他動詞,,,,,,,,,,,,
習う,ならう,N5,他動詞,,,,,,,,,,,,
洗う,あらう,N5,他動詞,,,,,,,,,,,,
消す,けす,N5,他動詞,,,,,,,,,,,,
選ぶ,えらぶ,N5,他動詞,,,,,,,,,,,,
押す,おす,N5,他動詞,,,,,,,,,,,,
引く,ひく,N5,他動詞,,,,,,,,,,,,
飲む,のむ,N5,他動詞,,,,,,,,,,,,
振る,ふる,N5,他動詞,,,,,,,,,,,,
知る,しる,N5,他動詞,,,,,,,,,,,,
直す,なおす,N5,他動詞,,,,,,,,,,,,
置く,おく,N5,他動詞,,,,,,,,,,,,
祝う,いわう,N5,他動詞,,,,,,,,,,,,
作る,つくる,N5,他動詞,,,,,,,,,,,,
閉める,しめる,N5,他動詞,,,,,,,,,,,,
並べる,ならべる,N5,他動詞,,,,,,,,,,,,
締める,しめる,N5,他動詞,,,,,,,,,,,,
付ける,つける,N5,他動詞,,,,,,,,,,,,
掛ける,かける,N5,他動詞,,,,,,,,,,,,
見せる,みせる,N5,他動詞,,,,,,,,,,,,
見る,みる,N5,他動詞,,,,,,,,,,,,
教える,おしえる,N5,他動詞,,,,,,,,,,,,
借りる,かりる,N5,他動詞,,,,,,,,,,,,
覚える,おぼえる,N5,他動詞,,,,,,,,,,,,
開ける,あける,N5,他動詞,,,,,,,,,,,,
立てる,たてる,N5,他動詞,,,,,,,,,,,,
確かめる,たしかめる,N5,他動詞,,,,,,,,,,,,
入れる,いれる,N5,他動詞,,,,,,,,,,,,
上げる,あげる,N5,他動詞,,,,,,,,,,,,
食べる,たべる,N5,他動詞,,,,,,,,,,,,
忘れる,わすれる,N5,他動詞,,,,,,,,,,,,
信じる,しんじる,N5,他動詞,,,,,,,,,,,,
浴びる,あびる,N5,他動詞,,,,,,,,,,,,
伝える,つたえる,N5,他動詞,,,,,,,,,,,,
着る,きる,N5,他動詞,,,,,,,,,,,,
ある,ある,N5,自動詞,,,,,,,,,,,,
閉まる,しまる,N5,自動詞,,,,,,,,,,,,
並ぶ,ならぶ,N5,自動詞,,,,,,,,,,,,
歩く,あるく,N5,自動詞,,,,,,,,,,,,
乗る,のる,N5,自動詞,,,,,,,,,,,,
登る,のぼる,N5,自動詞,,,,,,,,,,,,
働く,はたらく,N5,自動詞,,,,,,,,,,,,
渡る,わたる,N5,自動詞,,,,,,,,,,,,
飛ぶ,とぶ,N5,自動詞,,,,,,,,,,,,
分かる,わかる,N5,自動詞,,,,,,,,,,,,
掛かる,かかる,N5,自動詞,,,,,,,,,,,,
帰る,かえる,N5,自動詞,,,,,,,,,,,,
行く,いく,N5,自動詞,,,,,,,,,,,,
滑る,すべる,N5,自動詞,,,,,,,,,,,,
会う,あう,N5,自動詞,,,,,,,,,,,,
降る,ふる,N5,自動詞,,,,,,,,,,,,
困る,こまる,N5,自動詞,,,,,,,,,,,,
立つ,たつ,N5,自動詞,,,,,,,,,,,,
迷う,まよう,N5,自動詞,,,,,,,,,,,,
悩む,なやむ,N5,自動詞,,,,,,,,,,,,
泣く,なく,N5,自動詞,,,,,,,,,,,,
曲がる,まがる,N5,自動詞,,,,,,,,,,,,
入る,はいる,N5,自動詞,,,,,,,,,,,,
上る,のぼる,N5,自動詞,,,,,,,,,,,,
始まる,はじまる,N5,自動詞,,,,,,,,,,,,
死ぬ,しぬ,N5,自動詞,,,,,,,,,,,,
曇る,くもる,N5,自動詞,,,,,,,,,,,,
違う,ちがう,N5,自動詞,,,,,,,,,,,,
咲く,さく,N5,自動詞,,,,,,,,,,,,
要る,いる,N5,自動詞,,,,,,,,,,,,
泳ぐ,およぐ,N5,自動詞,,,,,,,,,,,,
遊ぶ,あそぶ,N5,自動詞,,,,,,,,,,,,
込む,こむ,N5,自動詞,,,,,,,,,,,,
着く,つくる,N5,自動詞,,,,,,,,,,,,
止まる,とまる,N5,自動詞,,,,,,,,,,,,
住む,すむ,N5,自動詞,,,,,,,,,,,,
走る,はしる,N5,自動詞,,,,,,,,,,,,
座る,すわる,N5,自動詞,,,,,,,,,,,,
いる,いる,N5,自動詞,,,,,,,,,,,,
できる,できる,N5,自動詞,,,,,,,,,,,,
出る,でる,N5,自動詞,,,,,,,,,,,,
答える,こたえる,N5,自動詞,,,,,,,,,,,,
降りる,おりる,N5,自動詞,,,,,,,,,,,,
居る,いる,N5,自動詞,,,,,,,,,,,,
疲れる,つかれる,N5,自動詞,,,,,,,,,,,,
起きる,おきる,N5,自動詞,,,,,,,,,,,,
勤める,つとめる,N5,自動詞,,,,,,,,,,,,
寝る,ねる,N5,自動詞,,,,,,,,,,,,
晴れる,はれる,N5,自動詞,,,,,,,,,,,,
生まれる,うまれる,N5,自動詞,,,,,,,,,,,,
消える,きえる,N5,自動詞,,,,,,,,,,,,
活動,かつどう,N5,自動詞,,,,,,,,,,,,
来る,くる,N5,自動詞,,,,,,,,,,,,
外出,がいしゅつ,N5,自動詞,,,,,,,,,,,,
